slug,display_name,country,region,status,featured,NEEDS_TAGLINE,NEEDS_HERO_IMAGE,NEEDS_SEO_DESCRIPTION,NEEDS_FILTERS
"budapest","Budapest","Hungary","Europe","coming-soon","NO","","YES","","YES"
"funchal","Funchal","Portugal","Europe","coming-soon","NO","","YES","","YES"
"krakow","Kraków","Poland","Europe","coming-soon","NO","","YES","","YES"
"tbilisi","Tbilisi","Georgia","Middle East & Africa","coming-soon","NO","","YES","","YES"
"paphos","Paphos","Cyprus","Europe","coming-soon","NO","","YES","","YES"
"valletta","Valletta","Malta","Europe","coming-soon","NO","","YES","","YES"
"ljubljana","Ljubljana","Slovenia","Europe","coming-soon","NO","","YES","","YES"
"kotor","Kotor","Montenegro","Europe","coming-soon","NO","","YES","","YES"
"abruzzo","Abruzzo","Italy","Europe","coming-soon","NO","","YES","","YES"
"hua-hin","Hua Hin","Thailand","Southeast Asia","coming-soon","NO","","YES","","YES"
"kuala-lumpur","Kuala Lumpur","Malaysia","Southeast Asia","coming-soon","NO","","YES","","YES"
"taipei","Taipei","Taiwan","East Asia","coming-soon","NO","","YES","","YES"
"hoi-an","Hội An","Vietnam","Southeast Asia","coming-soon","NO","","YES","","YES"
"galle","Galle","Sri Lanka","South Asia","coming-soon","NO","","YES","","YES"
"cebu","Cebu","Philippines","Southeast Asia","coming-soon","NO","","YES","","YES"
"gold-coast","Gold Coast","Australia","Oceania","coming-soon","NO","","YES","","YES"
"nelson-nz","Nelson","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
"byron-bay","Byron Bay","Australia","Oceania","coming-soon","NO","","YES","","YES"
"adelaide","Adelaide","Australia","Oceania","coming-soon","NO","","YES","","YES"
"hobart","Hobart","Australia","Oceania","coming-soon","NO","","YES","","YES"
"cairns","Cairns","Australia","Oceania","coming-soon","NO","","YES","","YES"
"sunshine-coast","Sunshine Coast","Australia","Oceania","coming-soon","NO","","YES","","YES"
"queenstown-nz","Queenstown","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
"tauranga","Tauranga","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
"wanaka","Wānaka","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
"nice","Nice","France","Europe","coming-soon","NO","","YES","","YES"
"bordeaux","Bordeaux","France","Europe","coming-soon","NO","","YES","","YES"
"montpellier","Montpellier","France","Europe","coming-soon","NO","","YES","","YES"
"lugano","Lugano","Switzerland","Europe","coming-soon","NO","","YES","","YES"
"puglia","Puglia","Italy","Europe","coming-soon","NO","","YES","","YES"
"sicily","Sicily","Italy","Europe","coming-soon","NO","","YES","","YES"
"crete","Crete","Greece","Europe","coming-soon","NO","","YES","","YES"
"seville","Seville","Spain","Europe","coming-soon","NO","","YES","","YES"
"granada","Granada","Spain","Europe","coming-soon","NO","","YES","","YES"
"charleston-sc","Charleston","United States","North America","coming-soon","NO","","YES","","YES"
"palm-springs","Palm Springs","United States","North America","coming-soon","NO","","YES","","YES"
"prescott-az","Prescott","United States","North America","coming-soon","NO","","YES","","YES"
"wilmington-nc","Wilmington","United States","North America","coming-soon","NO","","YES","","YES"
"st-george-ut","St. George","United States","North America","coming-soon","NO","","YES","","YES"
"st-lucia","St. Lucia","Saint Lucia","Unknown","coming-soon","NO","","YES","","YES"
"antigua","Antigua","Antigua and Barbuda","Unknown","coming-soon","NO","","YES","","YES"
"los-cabos","Los Cabos","Mexico","Latin America","coming-soon","NO","","YES","","YES"
"mazatlan","Mazatlán","Mexico","Latin America","coming-soon","NO","","YES","","YES"
"guadalajara","Guadalajara","Mexico","Latin America","coming-soon","NO","","YES","","YES"
"phuket","Phuket","Thailand","Southeast Asia","coming-soon","NO","","YES","","YES"
"ho-chi-minh-city","Ho Chi Minh City","Vietnam","Southeast Asia","coming-soon","NO","","YES","","YES"
"melbourne","Melbourne","Australia","Oceania","coming-soon","NO","","YES","","YES"
"perth","Perth","Australia","Oceania","coming-soon","NO","","YES","","YES"
"christchurch-nz","Christchurch","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
"bali","Bali","Indonesia","Southeast Asia","coming-soon","NO","","YES","","YES"
"fukuoka","Fukuoka","Japan","East Asia","coming-soon","NO","","YES","","YES"
"marrakech","Marrakech","Morocco","Middle East & Africa","coming-soon","NO","","YES","","YES"
"cape-town","Cape Town","South Africa","Middle East & Africa","coming-soon","NO","","YES","","YES"
"accra","Accra","Ghana","Unknown","coming-soon","NO","","YES","","YES"
"flagstaff","Flagstaff","United States","North America","coming-soon","NO","","YES","","YES"
"ashland-or","Ashland","United States","North America","coming-soon","NO","","YES","","YES"
"douro-valley","Douro Valley","Portugal","Europe","coming-soon","NO","","YES","","YES"
"alentejo","Alentejo","Portugal","Europe","coming-soon","NO","","YES","","YES"
"galicia","Galicia","Spain","Europe","coming-soon","NO","","YES","","YES"
"county-clare","County Clare","Ireland","Unknown","coming-soon","NO","","YES","","YES"
"cotswolds","The Cotswolds","United Kingdom","Unknown","coming-soon","NO","","YES","","YES"
"dordogne","Dordogne","France","Europe","coming-soon","NO","","YES","","YES"
"umbria","Umbria","Italy","Europe","coming-soon","NO","","YES","","YES"
"stellenbosch","Stellenbosch","South Africa","Middle East & Africa","coming-soon","NO","","YES","","YES"
"nairobi","Nairobi","Kenya","Middle East & Africa","coming-soon","NO","","YES","","YES"
"zanzibar","Zanzibar","Tanzania","Unknown","coming-soon","NO","","YES","","YES"
"mauritius","Mauritius","Mauritius","Unknown","coming-soon","NO","","YES","","YES"
"marlborough-nz","Marlborough","New Zealand","Oceania","coming-soon","NO","","YES","","YES"
